state_county, latitude , longitude 
Georgia_Wayne, 31.53000 ,-81.94800 
Georgia_Webster, 32.01500 ,-84.57500 
Georgia_Wheeler, 32.16000 ,-82.72000 
Georgia_White, 34.67667 ,-83.73000 
Georgia_Whitfield, 34.81200 ,-85.00200 
Georgia_Wilcox, 31.99250 ,-83.44750 
Georgia_Wilkes, 33.79333 ,-82.79333 
Georgia_Wilkinson, 32.83750 ,-83.19250 
Georgia_Worth, 31.62600 ,-83.84800 
Hawaii_Hawaii, 19.66133 ,-155.44467 
Hawaii_Honolulu, 21.39513 ,-157.91205 
Hawaii_Kauai, 22.05167 ,-159.42833 
Hawaii_Maui, 20.86400 ,-156.44200 
Idaho_Ada, 43.62125 ,-116.26688 
Idaho_Adams, 44.78000 ,-116.44000 
Idaho_Bannock, 42.70875 ,-112.26500 
Idaho_Bear Lake, 42.23800 ,-111.34400 
Idaho_Benewah, 47.16200 ,-116.71800 
Idaho_Bingham, 43.21571 ,-112.50857 
Idaho_Blaine, 43.46400 ,-114.15600 
Idaho_Boise, 44.01167 ,-115.87000 
Idaho_Bonner, 48.26000 ,-116.64917 
Idaho_Bonneville, 43.45125 ,-111.75375 
Idaho_Boundary, 48.74750 ,-116.41250 
Idaho_Butte, 43.75000 ,-113.32333 
Idaho_Camas, 43.38000 ,-114.88000 
Idaho_Canyon, 43.62500 ,-116.69200 
Idaho_Caribou, 42.73600 ,-111.59800 
Idaho_Cassia, 42.32600 ,-113.58400 
Idaho_Clark, 44.30500 ,-112.29500 
Idaho_Clearwater, 46.48500 ,-116.03000 
Idaho_Custer, 44.25500 ,-114.36250 
Idaho_Elmore, 43.09400 ,-115.50000 
Idaho_Franklin, 42.15833 ,-111.86000 
Idaho_Fremont, 44.10500 ,-111.52500 
